start,end,note,sheet
"2020-04-29 11:49:36","2020-04-29 12:08:52","making calendar data searchable","tspub"
"2020-04-29 12:55:33","2020-04-29 13:02:12","making calendar data searchable","tspub"
"2020-05-08 11:37:43","2020-05-08 11:53:39","Torah card content and media to Tikkum Olam","tspub"
"2020-05-12 10:45:25","2020-05-12 11:01:17","looking at facebook feed plugins","tspub"
"2020-05-12 11:01:39","2020-05-12 11:31:38","ocr'ing vision statement","tspub"
"2020-05-12 11:31:52","2020-05-12 11:35:00","calling dorothy minkoff","tspub"
"2020-05-12 11:38:59","2020-05-12 12:32:01","textualizing contact page.","tspub"
"2020-05-12 13:56:56","2020-05-12 14:30:00","multicol development","tspub"
"2020-05-13 11:43:46","2020-05-13 15:30:00","Mission Statement and Contacts","tspub"
"2020-05-13 16:07:51","2020-05-13 16:42:56","Mission Statement and Contacts - made vision statement two responsive columns","tspub"
"2020-05-14 10:50:40","2020-05-14 12:30:00","Mission Statement and Contacts - section headings now use theme class; continuing with contacts","tspub"
"2020-05-18 11:25:59","2020-05-18 14:34:32","Fixing contact us page.","tspub"
"2020-05-20 10:00:00","2020-05-20 14:41:00","Adding address to site (using donate button space in header); preparing for pub meeting","tspub"
"2020-05-20 17:10:58","2020-05-20 18:00:00","fixing menus","tspub"
"2020-05-24 18:13:16","2020-05-24 18:36:56","time processing happenings to wp 2 column responsive layout","tspub"
"2020-05-24 19:31:16","2020-05-24 19:50:14","time processing happenings to wp 2 column responsive layout","tspub"
"2020-05-26 20:06:31","2020-05-26 20:22:41","custom css for h1.entry title and h3.post-title & removed duplicate image titles from all applicable pages.","tspub"
"2020-05-27 10:13:16","2020-05-27 11:32:39","Starting assignments: my draft; e-mail to Jo","tspub"
